numInputs,numOutputs,maxLevel,const,and,nand,or,nor,not,xor,xnor,buf,const-and,const-nand,const-or,const-nor,const-not,const-xor,const-xnor,const-buf,const-output,and-and,and-nand,and-or,and-nor,and-not,and-xor,and-xnor,and-buf,and-output,nand-and,nand-nand,nand-or,nand-nor,nand-not,nand-xor,nand-xnor,nand-buf,nand-output,or-and,or-nand,or-or,or-nor,or-not,or-xor,or-xnor,or-buf,or-output,nor-and,nor-nand,nor-or,nor-nor,nor-not,nor-xor,nor-xnor,nor-buf,nor-output,not-and,not-nand,not-or,not-nor,not-not,not-xor,not-xnor,not-buf,not-output,xor-and,xor-nand,xor-or,xor-nor,xor-not,xor-xor,xor-xnor,xor-buf,xor-output,xnor-and,xnor-nand,xnor-or,xnor-nor,xnor-not,xnor-xor,xnor-xnor,xnor-buf,xnor-output,buf-and,buf-nand,buf-or,buf-nor,buf-not,buf-xor,buf-xnor,buf-buf,buf-output,input-and,input-nand,input-or,input-nor,input-not,input-xor,input-xnor,input-buf,input-output,reliability_percent
10,8,5,0,9,11,10,9,8,6,10,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,2,2,0,2,3,1,2,2,1,5,3,0,1,2,7,3,5,1,1,1,0,0,1,6,3,1,1,1,3,0,0,2,3,2,1,1,1,4,0,1,2,0,0,0,0,1,1,0,0,0,1,2,3,1,1,0,0,4,0,0,0,0,0,0,0,0,0,4,2,5,4,2,0,6,0,0,0
4,3,7,0,3,6,8,6,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,2,1,1,3,0,0,0,5,3,2,1,2,1,0,0,1,3,0,1,1,1,1,0,1,0,1,1,2,0,1,1,0,1,2,2,1,1,1,3,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,4,1,2,4,2,0,0,73.14
7,9,3,0,2,3,0,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,2,0,0,1,0,2,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,3,2,0,0,0,0
2,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,100
3,8,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,100
1,6,3,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,100
2,1,9,0,9,4,4,6,7,4,8,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,1,1,0,1,0,1,3,0,0,1,2,0,2,0,0,5,1,3,0,2,1,3,0,0,3,0,1,3,0,2,2,0,0,1,1,2,1,0,1,0,0,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,1,0,0,100
4,1,11,0,8,9,13,9,8,7,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,2,3,2,0,0,1,0,0,3,3,5,5,1,1,4,0,0,3,1,1,2,0,2,1,0,1,1,4,5,2,1,3,0,0,0,2,0,1,3,0,2,3,0,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,2,2,0,0,0
4,8,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,100
5,10,8,0,1,9,5,8,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,2,6,5,0,0,0,1,0,3,1,0,1,0,5,0,3,3,0,0,0,1,0,0,0,3,2,2,0,2,1,0,0,1,1,0,1,2,1,2,0,0,1,1,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,0,0,0,0
5,4,3,0,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0
7,3,11,0,10,4,7,5,7,11,4,0,0,0,0,0,0,0,0,0,0,3,1,5,1,1,3,2,0,0,3,0,0,1,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,1,1,1,3,0,0,0,1,2,4,1,0,3,0,0,0,5,1,3,2,1,3,1,0,3,0,2,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,3,3,0,0,0,0
6,4,3,0,0,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0
5,10,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0
5,6,3,0,2,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0
3,8,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,100
3,7,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,100
7,4,5,0,5,3,7,2,3,3,5,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,2,2,0,2,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,1,0,2,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,2,2,0,0,0
4,6,9,0,7,7,8,4,2,8,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,1,3,1,3,0,0,3,2,0,0,1,3,2,1,0,3,2,0,2,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,2,0,0,3,0,0,4,3,3,1,1,6,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,5,0,0,0
2,1,2,0,2,2,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,2,0,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0
3,5,6,0,5,4,6,5,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,0,0,0,1,0,2,2,0,0,0,0,0,1,2,0,3,1,2,2,0,3,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,4,0,1,1,0,0,0,83.51
5,10,5,0,3,0,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0
3,6,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,100
5,9,5,0,4,5,2,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,1,1,2,4,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,1,4,0,0,0,96.75
6,2,5,0,1,1,3,4,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,2,0,0,1,0,1,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,2,0,0,0
2,6,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,100
3,7,3,0,2,2,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0
1,8,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,100
7,2,7,0,5,5,12,6,5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,2,1,2,1,1,1,1,0,0,3,3,4,1,1,2,0,0,1,1,3,3,1,0,1,0,0,0,1,2,3,3,0,0,0,0,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,5,0,0,0,0
5,6,6,0,4,8,3,6,3,3,4,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,4,1,4,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,5,1,1,1,1,0,0,1,0,0,1,2,0,0,0,0,3,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,1,0,0,74.69
6,4,5,0,3,4,1,2,1,2,5,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0
2,1,6,0,6,4,2,2,3,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,3,0,0,100
4,2,4,0,2,1,4,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,2,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,2,0,0,0
2,5,11,0,8,13,10,10,7,8,7,0,0,0,0,0,0,0,0,0,0,1,3,3,5,0,2,2,0,0,4,5,6,3,1,5,2,0,0,1,2,1,1,0,4,0,0,0,3,1,1,1,1,2,1,0,0,2,4,1,4,1,0,2,0,3,1,3,2,1,0,1,2,0,2,2,3,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,2,0,0,74.81
5,8,4,0,4,2,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,0
4,6,4,0,3,4,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,2,0,0,0
4,5,3,0,1,0,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0
7,1,7,0,7,8,2,8,2,7,6,0,0,0,0,0,0,0,0,0,0,2,1,0,4,1,1,2,0,0,0,4,0,1,0,2,3,0,1,1,0,0,0,0,1,1,0,0,1,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,3,1,2,3,0,0,2,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,4,0,0,0,0
6,10,13,0,11,11,10,12,6,6,11,0,0,0,0,0,0,0,0,0,0,5,5,6,6,1,1,1,0,0,1,5,1,1,0,1,4,0,1,2,0,2,1,1,2,0,0,4,3,0,3,3,0,2,3,0,3,2,1,0,2,0,1,4,0,1,1,4,1,1,0,1,1,0,0,1,2,1,6,2,2,5,0,1,0,0,0,0,0,0,0,0,0,3,2,4,4,2,2,2,0,0,0
1,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,100
7,3,3,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0
5,5,11,0,5,9,4,8,8,11,5,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,1,0,3,1,2,2,3,2,4,1,0,0,1,2,0,1,0,1,0,0,0,2,2,0,1,1,4,2,0,0,2,1,0,1,2,2,1,0,2,2,2,1,1,1,4,2,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,2,2,0,0,0
3,10,6,0,1,7,5,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,3,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,2,0,0,100
4,7,4,0,1,0,4,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,1,1,0,0,4,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,100
5,4,11,0,9,13,10,10,8,6,6,0,0,0,0,0,0,0,0,0,0,1,3,6,3,1,1,2,0,2,3,1,1,3,0,1,3,0,1,1,6,2,1,1,1,3,0,1,4,3,4,3,0,1,2,0,0,0,1,1,3,1,2,0,0,0,2,3,3,2,2,0,1,0,0,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,2,4,0,0,0,91.6
7,4,7,0,2,5,1,8,1,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,1,3,1,2,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,2,1,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,6,0,0,0,0
5,1,6,0,7,5,4,5,4,3,4,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,0,1,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,2,2,1,1,1,2,1,0,0,3,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,0,0,0,0,0
4,4,4,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
2,5,11,0,8,13,10,10,7,8,7,0,0,0,0,0,0,0,0,0,0,1,3,3,5,0,2,2,0,0,4,5,6,3,1,5,2,0,0,1,2,1,1,0,4,0,0,0,3,1,1,1,1,2,1,0,0,2,4,1,4,1,0,2,0,3,1,3,2,1,0,1,2,0,2,2,3,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,2,0,0,74.81
7,3,5,0,4,4,9,3,3,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,2,0,1,0,1,0,0,2,3,6,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,2,5,0,1,2,0,0,0,34.23
